,Date,MOEXRUB,RUSCPI,USCPI,USDRUB,WTIUSD,CRUDEPROD,ACTIVITY
0,01/01/1998,88.97,7.413904556,68.34952767,6.043,16.72,67706.501,-27.598012
1,01/02/1998,67.39,7.479888307,68.34952767,6.049,16.06,68081.353,-43.444404
2,01/03/1998,75.16,7.527759592,68.34952767,6.098,15.12,67965.251,-36.417415
3,01/04/1998,75.42,7.556365078,68.4339098,6.13,15.35,67828.247,-43.346262
4,01/05/1998,78.09,7.594146904,68.60267407,6.169,14.91,67293.6,-43.736362
5,01/06/1998,40.95,7.600222221,68.6870562,6.229,13.72,67014.117,-52.649399
6,01/07/1998,35.82,7.613142599,68.85582047,6.281,14.17,66877.514,-59.298646
7,01/08/1998,35.14,7.892544932,68.9402026,9.95,13.47,65903.825,-64.263665
8,01/09/1998,21.02,10.92564995,68.98239367,16.025,15.03,65984.28,-55.420449
9,01/10/1998,23.39,11.42167446,69.15115793,16.7,14.46,66098.408,-43.419603
10,01/11/1998,34.19,12.0692834,69.23554007,18.45,13,66946.698,-45.953487
11,01/12/1998,47.86,13.4705272,69.36211327,21.55,11.35,66771.571,-58.157776
12,01/01/1999,45.6,14.59935738,69.48868647,23.1,12.52,66986.558,-63.748989
13,01/02/1999,44.73,15.20231084,69.48868647,23.1,12.01,67311.781,-59.560051
14,01/03/1999,66.66,15.62645531,69.53087753,25.005,14.68,66988.911,-44.902212
15,01/04/1999,87.4,16.09993691,69.99497926,24.75,17.31,65545.34,-49.954563
16,01/05/1999,105.99,16.45735551,70.03717033,24.72,17.72,65351.489,-35.839443
17,01/06/1999,108.46,16.771691,70.03717033,24.255,17.92,64307.099,-42.893498
18,01/07/1999,136.08,17.24465269,70.33250779,24.245,20.1,65818.109,-44.373518
19,01/08/1999,114.39,17.44469066,70.50127206,25.085,21.28,65704.186,-37.627434
20,01/09/1999,104.91,17.70287208,70.79660953,25.235,23.8,65747.386,-28.753496
21,01/10/1999,88.74,17.94540143,70.92318273,26.105,22.69,66253.791,-13.206027
22,01/11/1999,102.64,18.16612986,71.04975592,26.695,25,66236.066,-13.596896
23,01/12/1999,119.71,18.3950231,71.21852019,27.55,26.1,65422.498,-13.000198
